doc_id,category,model_a_zeroshot,model_a_fewshot,model_b_zeroshot,model_b_fewshot,tfidf
business_001,business,"ad_sales, quarterly_profit, profit_boost, time_warner, google","advertising, sales, profit, Time Warner, internet","sales, profit, Time Warner, Q4, Internet","web, page","timewarner, catwoman, aol europe, aol, warner"
business_002,business,"dollar, euro, Greenspan, trade deficit, savings","dollar, euro, greenspan, speech, trade deficit","dollar, euro, federal reserve, us, trade deficit","dollar, euro, federal, reserve","greenspan, the current account deficit, dollar gains, greenspan speech, the federal reserve head"
business_003,business,"Yukos, Rosneft, loan, Yugansk, asset","Rosneft, Yukos, Yugansk, loan, repayment","Yukos, loan, buy, tax, repayment","Yukos, loan, 900m, 9.3bn, repayment","yugansk, rosneft, menatep, yukos, seizure"
business_004,business,"BA, fuel, profits, pricing, revenue","fuel, profits, BA, fuel prices, fuel surcharge","high fuel prices, BA, profit, 40% drop","fuel price, profit, 40%, 47.3%, BA","ba, surcharge, ba's profits, eddington, cargo"
entertainment_001,entertainment,"Christmas, message, tree, sculpture","Christmas tree, text message, Bluetooth, sculpture, Tate Britain","unveils, tree, Tate Britain, interactive, Christmas","unwrapped, tree, messages, tate, gallery","wentworth, sculptor, gallery, spruce, tree"
entertainment_002,entertainment,"Andersen, Denmark, Hans Christian, Jarre, Jean-Michel","Jean-Michel Jarre, Copenhagen, Hans Christian Andersen, Parken stadium, Denmark","Jarre, French, concert, Copenhagen, Hans Christian Andersen","Jarre, concert, Copenhagen, fairy-tale, birth","jarre, andersen, bloom, frederik, odense"
entertainment_003,entertainment,"Capra, Jerry Springer, musical, It's A Wonderful Life, James Stewart","musical, Capra, film, producer, Jerry Springer - The Opera","musical, Capra, JERRY, SPEND, THODAY","musical, Capra, James Stewart, Thoday, Spend Spend Spend","thoday, a wonderful life, mr thoday, doren, capra"
entertainment_004,entertainment,"books, Richard, Judy, winners, sales","Richard and Judy, book award, sales boost, TV couple, book world","The American Boy, Feel, The Lovely Bones, Alice Sebold","The American Boy, Feel, The Lovely Bones, Alice Sebold, Joseph O'Connor","madeley, judy, this year's winner, top books, the 10 authors"
politics_001,politics,"maternity, pay, rise, mother, leave",maternity_pay_rise,"Labour, maternity pay, increase, 1400, 9 months","Labour, maternity, pay, rise, UK","â£1,400, maternity, maternity pay, new mothers, older children"
politics_002,politics,"Cabinet Office, deletion, e-mails, Freedom of Information, government","e-mails, Cabinet Office, freedom of information, deletion, e-mail disclosures","deletion, e-mails, freedom of information, cabinet office, time","deletion, e-mails, freedom, information, laws","deletion, mr thomas, mr beith, the information commissioner, the deletion"
politics_003,politics,"Labour, maternity leave, paid leave, gender, productivity","Labour, maternity leave, paid leave, gender, productivity","career, sexism, gender, maternity leave, paid","paid maternity leave, career sexism, equal opportunities commission, shared goal, unpaid leave","eoc, sexism, career sexism, the equal opportunities commission, 80p"
politics_004,politics,"conference, Manchester, Labour, National Executive Committee, party","Manchester, autumn conference, Labour Party, Blackpool, seaside venue","Manchester, Labour, hosting, conference","Manchester, Labour, host, conference, event","blackpool, bournemouth, brighton, its 2006 autumn conference, not blackpool"
sport_001,sport,"European, indoor, championships, medals, madrid","European Indoor Championships, medals, hurdling, British record, training","Claxton, medal, European Indoor Championships, Madrid, British","first major medal, British, hurdle, 60m, Madrid","claxton, colchester, first major medal, british hurdler sarah claxton, her first major medal"
sport_002,sport,"Cross Country Championships, O'Sullivan, Sonia, Worlds, Ireland","Worlds, O'Sullivan, St Etienne, National Nationals, Santry","World Cross Country Championships, Worlds, Athletics, Cobh, London marathon","World Cross Country Championships, Worlds, Athletics, Cross Country Championships, Marathon","santry, o'sullivan, worlds, etienne, next month's world cross country championships"
sport_003,sport,"World Championship, Greene, Athens, Olympics, medal","World Championship, Athens, Olympics, 100m, bronze medal","World Championship, Olympic 100m, World Title, Bronze Medal, Maurice Greene","World Championship, Olympic 100m, World Title, Bronze Medal, Winning","greene, gatlin, francis obikwelu, obikwelu, francis"
sport_004,sport,"IAAF, drugs, fight, sports, stakeholders","IAAF, drugs, fighting, sports, athletes","IAF, doping, sports","anti-doping, doping, drugs, sport, task forces","diack, monaco, iaaf, iaaf launches, the iaaf - athletics' world"
tech_001,tech,"elections, democracy, ink, Kyrgyz Republic, technology","ink, democracy, elections, invisible ink, ultraviolet readers","democracy, Asia, in ink","democracy, Asia, inconclusive, inks","ink, the ink, kyrgyz, ultraviolet, the kyrgyz republic"
tech_002,tech,"closed, net cafes, crackdown, china, illegal","net cafes, illegal operation, school proximity restrictions, moral internet use, crackdown","China, net cafe, crackdown, illegal, school","China, net cafe, crack down, illegal, schools","net cafes, cafe, 12,575, chinese authorities, the crackdown"
tech_003,tech,"anti-spyware, trojan, Microsoft, malware, email","anti-spyware, trojan, Microsoft, malware, email attachment","Microsoft, trojan, spyware, Bankash-A","Trojan, Anti-Spyware, Spyware, Bankash-A, E-mail","trojan, spyware, microsoft, a trojan program, the firm's anti-spyware software"
tech_004,tech,"laptop, Negroponte, media labs, digital, development","laptop, $100, development, education, technology","Digital, laptop, PC, Guru, 100","Digital, laptop, PC, Laptop","negroponte, mr negroponte, laptop, maine, cambodia"
